Date,Level_ft,Conductivity,Water_temp_degF,Temperature in C
9/14/13 12:51,,0,76.28,24.6
9/14/13 13:06,,0,77.18,25.1
9/14/13 13:21,,0,76.82,24.9
9/14/13 13:36,,0,76.82,24.9
9/14/13 13:51,,0,76.82,24.9
9/14/13 14:06,,0,77,25
9/14/13 14:21,,0,77,25
9/14/13 14:36,,0,77,25
9/14/13 14:51,,0,76.82,24.9
9/14/13 15:06,,0,76.64,24.8
9/14/13 15:21,,0,76.1,24.5
9/14/13 15:36,,0,75.38,24.1
9/14/13 15:51,,0,75.56,24.2
9/14/13 16:06,,0,76.28,24.6
9/14/13 16:21,,0,77,25
9/14/13 16:36,,0,76.28,24.6
9/14/13 16:51,,0,75.56,24.2
9/14/13 17:06,,2.528,70.16,21.2
9/14/13 17:21,,2.378,68,20
9/14/13 17:36,,2.708,67.82,19.9
9/14/13 17:51,,2.689,67.82,19.9
9/14/13 18:06,,2.678,67.64,19.8
9/14/13 18:21,,2.678,67.64,19.8
9/14/13 18:36,,2.674,67.64,19.8
9/14/13 18:51,,2.673,67.64,19.8
9/14/13 19:06,,2.672,67.64,19.8
9/14/13 19:21,,2.668,67.64,19.8
9/14/13 19:36,,2.665,67.46,19.7
9/14/13 19:51,,2.665,67.46,19.7
9/14/13 20:06,,2.664,67.46,19.7
9/14/13 20:21,,2.666,67.46,19.7
9/14/13 20:36,,2.666,67.46,19.7
9/14/13 20:51,,2.662,67.46,19.7
9/14/13 21:06,,2.665,67.46,19.7
9/14/13 21:21,,2.662,67.46,19.7
9/14/13 21:36,,2.664,67.28,19.6
9/14/13 21:51,,2.664,67.28,19.6
9/14/13 22:06,,2.662,67.28,19.6
9/14/13 22:21,,2.665,67.28,19.6
9/14/13 22:36,,2.656,67.28,19.6
9/14/13 22:51,,2.65,67.28,19.6
9/14/13 23:06,,2.65,67.28,19.6
9/14/13 23:21,,2.65,67.1,19.5
9/14/13 23:36,,2.649,67.1,19.5
9/14/13 23:51,,2.649,67.1,19.5
9/15/13 0:06,,2.653,67.1,19.5
9/15/13 0:21,,2.653,67.1,19.5
9/15/13 0:36,,2.652,66.92,19.4
9/15/13 0:51,,2.652,66.92,19.4
9/15/13 1:06,,2.65,66.92,19.4
9/15/13 1:21,,2.654,66.92,19.4
9/15/13 1:36,,2.652,66.92,19.4
9/15/13 1:51,,2.654,66.74,19.3
9/15/13 2:06,,2.652,66.74,19.3
9/15/13 2:21,,2.652,66.74,19.3
9/15/13 2:36,,2.65,66.74,19.3
9/15/13 2:51,,2.653,66.74,19.3
9/15/13 3:06,,2.654,66.56,19.2
9/15/13 3:21,,2.654,66.56,19.2
9/15/13 3:36,,2.657,66.56,19.2
9/15/13 3:51,,2.658,66.56,19.2
9/15/13 4:06,,2.657,66.38,19.1
9/15/13 4:21,,2.658,66.38,19.1
9/15/13 4:36,,2.661,66.38,19.1
9/15/13 4:51,,2.661,66.38,19.1
9/15/13 5:06,,2.657,66.2,19
9/15/13 5:21,,2.657,66.2,19
9/15/13 5:36,,2.656,66.2,19
9/15/13 5:51,,2.66,66.2,19
9/15/13 6:06,,2.66,66.2,19
9/15/13 6:21,,2.653,66.02,18.9
9/15/13 6:36,,2.649,66.02,18.9
9/15/13 6:51,,2.644,66.02,18.9
9/15/13 7:06,,2.639,66.02,18.9
9/15/13 7:21,,2.632,65.84,18.8
9/15/13 7:36,,2.628,65.84,18.8
9/15/13 7:51,,2.627,65.84,18.8
9/15/13 8:06,,2.624,65.84,18.8
9/15/13 8:21,,2.619,65.66,18.7
9/15/13 8:36,,2.617,65.66,18.7
9/15/13 8:51,,2.619,65.66,18.7
9/15/13 9:06,,2.617,65.66,18.7
9/15/13 9:21,,2.62,65.66,18.7
9/15/13 9:36,,2.623,65.48,18.6
9/15/13 9:51,,2.625,65.48,18.6
9/15/13 10:06,,2.621,65.48,18.6
9/15/13 10:21,,2.616,65.48,18.6
9/15/13 10:36,,2.614,65.3,18.5
9/15/13 10:51,,2.615,65.3,18.5
9/15/13 11:06,,2.614,65.3,18.5
9/15/13 11:21,,2.619,65.3,18.5
9/15/13 11:36,,2.615,65.3,18.5
9/15/13 11:51,,2.614,65.3,18.5
9/15/13 12:06,,2.612,65.3,18.5
9/15/13 12:21,,2.612,65.3,18.5
9/15/13 12:36,,2.612,65.3,18.5
9/15/13 12:51,,2.614,65.3,18.5
9/15/13 13:06,,2.614,65.3,18.5
9/15/13 13:21,,2.616,65.3,18.5
9/15/13 13:36,,2.625,65.3,18.5
9/15/13 13:51,,2.62,65.3,18.5
9/15/13 14:06,,2.623,65.3,18.5
9/15/13 14:21,,2.623,65.3,18.5
9/15/13 14:36,,2.621,65.3,18.5
9/15/13 14:51,,2.376,65.3,18.5
9/15/13 15:06,,2.363,65.3,18.5
9/15/13 15:21,,2.361,65.3,18.5
9/15/13 15:36,,2.358,65.48,18.6
9/15/13 15:51,,2.355,65.48,18.6
9/15/13 16:06,,2.354,65.48,18.6
9/15/13 16:21,,2.347,65.48,18.6
9/15/13 16:36,,2.349,65.48,18.6
9/15/13 16:51,,2.347,65.48,18.6
9/15/13 17:06,,2.347,65.48,18.6
9/15/13 17:21,,2.35,65.48,18.6
9/15/13 17:36,,2.35,65.48,18.6
9/15/13 17:51,,2.353,65.48,18.6
9/15/13 18:06,,2.353,65.66,18.7
9/15/13 18:21,,2.353,65.66,18.7
9/15/13 18:36,,2.351,65.66,18.7
9/15/13 18:51,,2.351,65.66,18.7
9/15/13 19:06,,2.353,65.66,18.7
9/15/13 19:21,,2.353,65.66,18.7
