Date,Water Level,Conductivity,Temp,Hand Measurement,Thermo Conductivity,[Cl] ppm
12/2/13 18:00,5.38,1258.22,50.49,,,
12/2/13 18:15,5.385,1257.44,50.4,,,
12/2/13 18:30,5.379,1256.62,50.34,,,
12/2/13 18:45,5.387,1256.21,50.32,,,
12/2/13 19:00,5.395,1255.8,50.29,,,
12/2/13 19:15,5.406,1255.82,50.27,,,
12/2/13 19:30,5.409,1258.25,50.43,,,
12/2/13 19:45,5.413,1259.05,50.5,,,
12/2/13 20:00,5.407,1257.44,50.4,,,
12/2/13 20:15,5.407,1257.44,50.4,,,
12/2/13 20:30,5.417,1257.44,50.4,,,
12/2/13 20:45,5.408,1256.21,50.32,,,
12/2/13 21:00,5.419,1257.86,50.4,,,
12/2/13 21:15,5.426,1255.8,50.29,,,
12/2/13 21:30,5.425,1255,50.23,,,
12/2/13 21:45,5.422,1256.64,50.32,,,
12/2/13 22:00,5.425,1257.45,50.36,,,
12/2/13 22:15,5.42,1256.25,50.27,,,
12/2/13 22:30,5.41,1256.64,50.32,,,
12/2/13 22:45,5.418,1257.45,50.36,,,
12/2/13 23:00,5.429,1259.91,50.5,,,
12/2/13 23:15,5.417,1258.7,50.41,,,
12/2/13 23:30,5.413,1255.84,50.25,,,
12/2/13 23:45,5.41,1256.65,50.29,,,
12/3/13 0:00,5.422,1257.06,50.32,,,
12/3/13 0:15,5.412,1259.53,50.43,,,
12/3/13 0:30,5.419,1258.31,50.36,,,
12/3/13 0:45,5.418,1258.73,50.36,,,
12/3/13 1:00,5.412,1258.31,50.36,,,
12/3/13 1:15,5.409,1257.08,50.29,,,
12/3/13 1:30,5.405,1258.73,50.36,,,
12/3/13 1:45,5.4,1257.06,50.32,,,
12/3/13 2:00,5.405,1257.1,50.27,,,
12/3/13 2:15,5.399,1257.47,50.34,,,
12/3/13 2:30,5.399,1258.31,50.36,,,
12/3/13 2:45,5.396,1260.35,50.49,,,
12/3/13 3:00,5.404,1258.32,50.34,,,
12/3/13 3:15,5.403,1255.85,50.23,,,
12/3/13 3:30,5.403,1253.4,50.09,,,
12/3/13 3:45,5.411,1257.1,50.27,,,
12/3/13 4:00,5.407,1257.1,50.27,,,
12/3/13 4:15,5.407,1255.87,50.2,,,
12/3/13 4:30,5.406,1256.69,50.25,,,
12/3/13 4:45,5.405,1258.72,50.4,,,
12/3/13 5:00,5.4,1259.55,50.41,,,
12/3/13 5:15,5.402,1260.79,50.45,,,
12/3/13 5:30,5.399,1259.55,50.41,,,
12/3/13 5:45,5.399,1257.49,50.32,,,
12/3/13 6:00,5.403,1257.1,50.27,,,
12/3/13 6:15,5.406,1258.34,50.32,,,
12/3/13 6:30,5.405,1260.4,50.41,,,
