Date,Level_ft,Conductivity,Water_temp_degF
9/14/13 12:50,,0,77.18
9/14/13 13:05,,0,77.9
9/14/13 13:20,,0,77.72
9/14/13 13:35,,0,77.54
9/14/13 13:50,,0,77.72
9/14/13 14:05,,0,77.9
9/14/13 14:20,,0,77.9
9/14/13 14:35,,0,77.9
9/14/13 14:50,,0,77.72
9/14/13 15:05,,0,77.54
9/14/13 15:20,,0,76.82
9/14/13 15:35,,0,75.38
9/14/13 15:50,,0,76.1
9/14/13 16:05,,0,77.36
9/14/13 16:20,,0,78.08
9/14/13 16:35,,0,77.54
9/14/13 16:50,,0,77
9/14/13 17:05,,0,74.66
9/14/13 17:20,,0,73.58
9/14/13 17:35,,1023,69.44
9/14/13 17:50,,1013,68.18
9/14/13 18:05,,1008,68
9/14/13 18:20,,1003,68
9/14/13 18:35,,1000,68
9/14/13 18:50,,998,68
9/14/13 19:05,,997,68
9/14/13 19:20,,996,68
9/14/13 19:35,,995,67.82
9/14/13 19:50,,995,67.82
9/14/13 20:05,,995,67.82
9/14/13 20:20,,996,67.82
9/14/13 20:35,,998,67.82
9/14/13 20:50,,999,67.82
9/14/13 21:05,,1000,67.82
9/14/13 21:20,,1000,67.82
9/14/13 21:35,,1001,67.82
9/14/13 21:50,,1001,67.82
9/14/13 22:05,,1001,67.82
9/14/13 22:20,,1001,67.82
9/14/13 22:35,,1001,67.64
9/14/13 22:50,,1001,67.64
9/14/13 23:05,,1000,67.64
9/14/13 23:20,,1002,67.64
9/14/13 23:35,,1001,67.64
9/14/13 23:50,,1000,67.46
9/15/13 0:05,,1002,67.46
9/15/13 0:20,,1002,67.46
9/15/13 0:35,,1013,67.46
9/15/13 0:50,,998,67.46
9/15/13 1:05,,996,67.28
9/15/13 1:20,,995,67.46
9/15/13 1:35,,994,67.28
9/15/13 1:50,,992,67.28
9/15/13 2:05,,991,67.28
9/15/13 2:20,,990,67.28
9/15/13 2:35,,989,67.28
9/15/13 2:50,,989,67.1
9/15/13 3:05,,988,67.1
9/15/13 3:20,,988,67.1
9/15/13 3:35,,987,67.1
9/15/13 3:50,,987,67.1
9/15/13 4:05,,987,66.92
9/15/13 4:20,,987,66.92
9/15/13 4:35,,987,66.92
9/15/13 4:50,,987,66.92
9/15/13 5:05,,987,66.92
9/15/13 5:20,,987,66.74
9/15/13 5:35,,987,66.74
9/15/13 5:50,,987,66.74
9/15/13 6:05,,987,66.74
9/15/13 6:20,,987,66.74
9/15/13 6:35,,987,66.56
9/15/13 6:50,,987,66.56
9/15/13 7:05,,987,66.56
9/15/13 7:20,,987,66.56
9/15/13 7:35,,986,66.38
9/15/13 7:50,,986,66.38
9/15/13 8:05,,986,66.38
9/15/13 8:20,,986,66.38
9/15/13 8:35,,986,66.38
9/15/13 8:50,,986,66.38
9/15/13 9:05,,986,66.2
9/15/13 9:20,,986,66.2
9/15/13 9:35,,985,66.2
9/15/13 9:50,,986,66.2
9/15/13 10:05,,985,66.2
9/15/13 10:20,,985,66.02
9/15/13 10:35,,985,66.02
9/15/13 10:50,,985,66.02
9/15/13 11:05,,985,66.02
9/15/13 11:20,,985,66.02
9/15/13 11:35,,987,66.02
9/15/13 11:50,,987,66.02
9/15/13 12:05,,987,66.02
9/15/13 12:20,,987,66.02
9/15/13 12:35,,987,66.02
9/15/13 12:50,,987,66.02
9/15/13 13:05,,988,66.02
9/15/13 13:20,,988,66.02
9/15/13 13:35,,989,66.02
9/15/13 13:50,,989,66.02
9/15/13 14:05,,989,66.02
9/15/13 14:20,,990,66.02
9/15/13 14:35,,991,66.02
9/15/13 14:50,,991,66.02
9/15/13 15:05,,992,66.02
9/15/13 15:20,,992,66.02
9/15/13 15:35,,993,66.02
9/15/13 15:50,,993,66.02
9/15/13 16:05,,994,66.02
9/15/13 16:20,,994,66.02
9/15/13 16:35,,994,66.02
9/15/13 16:50,,994,66.2
9/15/13 17:05,,994,66.2
9/15/13 17:20,,994,66.2
9/15/13 17:35,,994,66.2
9/15/13 17:50,,992,66.02
9/15/13 18:05,,992,66.02
9/15/13 18:20,,992,66.02
9/15/13 18:35,,993,66.2
9/15/13 18:50,,993,66.2
9/15/13 19:05,,993,66.2
9/15/13 19:20,,994,66.2
9/15/13 19:35,,994,66.2
9/15/13 19:50,,994,66.2
9/15/13 20:05,,995,66.2
9/15/13 20:20,,996,66.2
9/15/13 20:35,,995,66.2
9/15/13 20:50,,996,66.2
9/15/13 21:05,,996,66.2
9/15/13 21:20,,996,66.2
9/15/13 21:35,,996,66.2
9/15/13 21:50,,997,66.2
9/15/13 22:05,,997,66.2
9/15/13 22:20,,998,66.2
9/15/13 22:35,,998,66.2
9/15/13 22:50,,999,66.38
9/15/13 23:05,,1000,66.38
9/15/13 23:20,,1000,66.38
9/15/13 23:35,,1000,66.38
9/15/13 23:50,,1000,66.38
9/16/13 0:05,,1001,66.38
9/16/13 0:20,,1001,66.38
9/16/13 0:35,,1001,66.38
9/16/13 0:50,,1001,66.38
9/16/13 1:05,,1001,66.2
9/16/13 1:20,,1000,66.2
9/16/13 1:35,,1000,66.2
9/16/13 1:50,,1001,66.2
9/16/13 2:05,,1001,66.2
9/16/13 2:20,,1002,66.2
9/16/13 2:35,,1003,66.2
9/16/13 2:50,,1004,66.2
9/16/13 3:05,,1005,66.2
9/16/13 3:20,,1006,66.2
9/16/13 3:35,,1007,66.2
9/16/13 3:50,,1008,66.2
9/16/13 4:05,,1009,66.2
9/16/13 4:20,,1010,66.2
9/16/13 4:35,,1010,66.2
9/16/13 4:50,,1012,66.2
9/16/13 5:05,,1012,66.2
9/16/13 5:20,,1013,66.2
9/16/13 5:35,,1014,66.02
9/16/13 5:50,,1014,66.02
