Date,Level_ft,Conductivity,Water_temp_degF
12/2/13 18:00,4.096,625.58,50.32
12/2/13 18:15,4.102,626.38,50.38
12/2/13 18:30,4.097,627.16,50.5
12/2/13 18:45,4.104,624.8,50.22
12/2/13 19:00,4.11,625.18,50.29
12/2/13 19:15,4.12,625.19,50.27
12/2/13 19:30,4.126,627.55,50.56
12/2/13 19:45,4.121,625.2,50.25
12/2/13 20:00,4.123,625.97,50.38
12/2/13 20:15,4.127,624.8,50.22
12/2/13 20:30,4.135,625.18,50.29
12/2/13 20:45,4.133,625.15,50.38
12/2/13 21:00,4.138,625.58,50.32
12/2/13 21:15,4.14,625.97,50.38
12/2/13 21:30,4.143,626.36,50.43
12/2/13 21:45,4.146,626.35,50.45
12/2/13 22:00,4.152,624.79,50.25
12/2/13 22:15,4.141,625.17,50.32
12/2/13 22:30,4.135,625.16,50.36
12/2/13 22:45,4.143,626.35,50.49
12/2/13 23:00,4.143,626.33,50.52
12/2/13 23:15,4.144,624.38,50.25
12/2/13 23:30,4.139,625.94,50.45
12/2/13 23:45,4.141,625.95,50.43
12/3/13 0:00,4.145,625.17,50.34
12/3/13 0:15,4.147,625.15,50.38
12/3/13 0:30,4.148,624.75,50.36
12/3/13 0:45,4.149,625.17,50.32
12/3/13 1:00,4.143,624.37,50.27
12/3/13 1:15,4.141,624.35,50.32
12/3/13 1:30,4.137,624.34,50.34
12/3/13 1:45,4.126,624.76,50.34
12/3/13 2:00,4.127,625.16,50.36
12/3/13 2:15,4.127,624.74,50.38
12/3/13 2:30,4.13,624.34,50.34
12/3/13 2:45,4.135,625.13,50.43
12/3/13 3:00,4.139,624.35,50.32
12/3/13 3:15,4.137,624.35,50.32
12/3/13 3:30,4.139,624.34,50.34
12/3/13 3:45,4.146,625.12,50.45
12/3/13 4:00,4.143,624.34,50.36
12/3/13 4:15,4.146,623.96,50.27
12/3/13 4:30,4.146,622.76,50.18
12/3/13 4:45,4.14,624.35,50.32
12/3/13 5:00,4.138,624.34,50.36
12/3/13 5:15,4.14,623.14,50.27
12/3/13 5:30,4.141,623.95,50.29
12/3/13 5:45,4.144,623.15,50.25
12/3/13 6:00,4.144,623.54,50.29
12/3/13 6:15,4.148,623.93,50.34
12/3/13 6:30,4.15,624.32,50.41
12/3/13 6:45,4.158,623.94,50.32
12/3/13 7:00,4.158,625.11,50.5
12/3/13 7:15,4.171,624.72,50.43
12/3/13 7:30,4.171,623.52,50.36
12/3/13 7:45,4.168,622.35,50.18
12/3/13 8:00,4.176,623.14,50.27
12/3/13 8:15,4.173,624.31,50.43
12/3/13 8:30,4.164,623.15,50.25
12/3/13 8:45,4.159,623.14,50.27
12/3/13 9:00,4.16,620.77,50.02
12/3/13 9:15,4.16,622.74,50.25
12/3/13 9:30,4.152,622.74,50.25
12/3/13 9:45,4.14,623.12,50.32
12/3/13 10:00,4.14,622.71,50.32
12/3/13 10:15,4.136,623.11,50.34
12/3/13 10:30,4.131,621.93,50.2
12/3/13 10:45,4.122,623.51,50.38
12/3/13 11:00,4.1,623.12,50.32
12/3/13 11:15,4.082,623.11,50.34
12/3/13 11:30,4.07,623.11,50.34
12/3/13 11:45,4.05,622.7,50.34
12/3/13 12:00,4.021,623.88,50.49
12/3/13 12:15,4,623.5,50.41
12/3/13 12:30,4.005,623.1,50.38
12/3/13 12:45,3.996,623.5,50.41
12/3/13 13:00,3.994,623.5,50.41
12/3/13 13:15,3.999,621.9,50.29
12/3/13 13:30,3.993,622.7,50.36
12/3/13 13:45,4.005,623.88,50.49
12/3/13 14:00,4.014,623.09,50.41
12/3/13 14:15,4.015,622.29,50.34
12/3/13 14:30,4.01,621.89,50.32
12/3/13 14:45,4.008,621.91,50.27
12/3/13 15:00,4.037,621.52,50.22
12/3/13 15:15,4.062,623.07,50.45
12/3/13 15:30,4.062,620.71,50.18
12/3/13 15:45,4.047,621.51,50.25
12/3/13 16:00,4.065,620.71,50.18
12/3/13 16:15,4.072,621.11,50.22
12/3/13 16:30,4.081,622.28,50.38
12/3/13 16:45,4.092,621.49,50.29
12/3/13 17:00,4.106,621.9,50.29
12/3/13 17:15,4.108,622.28,50.38
12/3/13 17:30,4.111,622.28,50.38
12/3/13 17:45,4.103,622.28,50.38
12/3/13 18:00,4.098,621.48,50.32
12/3/13 18:15,4.105,621.87,50.36
12/3/13 18:30,4.115,620.7,50.2
