Date,Level_ft,Conductivity,Water_temp_degF
9/21/13 17:00,,646.6,63.88
9/21/13 17:15,,647.9,63.88
9/21/13 17:30,,647.1,63.88
9/21/13 17:45,,645.8,63.88
9/21/13 18:00,,644.6,63.86
9/21/13 18:15,,643.7,63.86
9/21/13 18:30,,643.3,63.86
9/21/13 18:45,,642.5,63.84
9/21/13 19:00,,641.6,63.86
9/21/13 19:15,,641.2,63.84
9/21/13 19:30,,640.4,63.84
9/21/13 19:45,,638.7,63.84
9/21/13 20:00,,637.4,63.84
9/21/13 20:15,,636.2,63.84
9/21/13 20:30,,635.3,63.82
9/21/13 20:45,,634.5,63.82
9/21/13 21:00,,634.1,63.82
9/21/13 21:15,,633.2,63.82
9/21/13 21:30,,633.3,63.79
9/21/13 21:45,,633.3,63.79
9/21/13 22:00,,633.3,63.79
9/21/13 22:15,,632.8,63.79
9/21/13 22:30,,632.8,63.77
9/21/13 22:45,,632.8,63.79
9/21/13 23:00,,633.7,63.79
9/21/13 23:15,,634.5,63.77
9/21/13 23:30,,635.4,63.79
9/21/13 23:45,,637.5,63.77
9/22/13 0:00,,637.9,63.77
9/22/13 0:15,,639.1,63.77
9/22/13 0:30,,640,63.77
9/22/13 0:45,,640.4,63.77
9/22/13 1:00,,640.4,63.77
9/22/13 1:15,,640.8,63.77
9/22/13 1:30,,640.8,63.75
9/22/13 1:45,,641.2,63.77
9/22/13 2:00,,640.8,63.77
9/22/13 2:15,,640.8,63.77
9/22/13 2:30,,641.2,63.75
9/22/13 2:45,,641.2,63.75
9/22/13 3:00,,641.2,63.75
9/22/13 3:15,,641.2,63.75
9/22/13 3:30,,641.2,63.75
9/22/13 3:45,,641.2,63.75
9/22/13 4:00,,641.2,63.75
9/22/13 4:15,,641.2,63.75
9/22/13 4:30,,641.2,63.75
9/22/13 4:45,,641.2,63.75
9/22/13 5:00,,641.2,63.75
9/22/13 5:15,,641.2,63.72
9/22/13 5:30,,641.2,63.72
9/22/13 5:45,,641.2,63.72
9/22/13 6:00,,641.2,63.72
9/22/13 6:15,,641.2,63.72
9/22/13 6:30,,641.2,63.72
9/22/13 6:45,,640.8,63.72
9/22/13 7:00,,641.2,63.72
9/22/13 7:15,,641.2,63.72
9/22/13 7:30,,640.8,63.72
9/22/13 7:45,,641.2,63.72
9/22/13 8:00,,640.8,63.7
9/22/13 8:15,,640.8,63.72
9/22/13 8:30,,641.3,63.7
9/22/13 8:45,,641.3,63.7
9/22/13 9:00,,641.3,63.7
9/22/13 9:15,,641.3,63.7
9/22/13 9:30,,641.3,63.7
9/22/13 9:45,,641.3,63.7
9/22/13 10:00,,641.3,63.7
9/22/13 10:15,,641.3,63.68
9/22/13 10:30,,640.8,63.68
9/22/13 10:45,,641.3,63.68
9/22/13 11:00,,641.3,63.7
9/22/13 11:15,,641.3,63.68
9/22/13 11:30,,641.3,63.68
9/22/13 11:45,,641.3,63.68
9/22/13 12:00,,641.3,63.68
9/22/13 12:15,,641.3,63.68
9/22/13 12:30,,641.3,63.68
9/22/13 12:45,,641.3,63.68
9/22/13 13:00,,641.3,63.68
9/22/13 13:15,,641.3,63.68
9/22/13 13:30,,641.3,63.68
9/22/13 13:45,,641.3,63.68
9/22/13 14:00,,641.3,63.64
9/22/13 14:15,,641.3,63.68
9/22/13 14:30,,641.3,63.68
9/22/13 14:45,,641.3,63.68
9/22/13 15:00,,641.7,63.64
9/22/13 15:15,,641.3,63.64
9/22/13 15:30,,641.3,63.64
9/22/13 15:45,,641.3,63.64
9/22/13 16:00,,641.3,63.64
9/22/13 16:15,,641.3,63.64
9/22/13 16:30,,640.9,63.64
9/22/13 16:45,,640.4,63.64
9/22/13 17:00,,639.6,63.64
9/22/13 17:15,,639.2,63.64
9/22/13 17:30,,638.8,63.63
9/22/13 17:45,,638.8,63.63
9/22/13 18:00,,637.5,63.64
9/22/13 18:15,,636.3,63.63
9/22/13 18:30,,634.6,63.63
9/22/13 18:45,,633.3,63.63
9/22/13 19:00,,632.1,63.63
9/22/13 19:15,,629.5,63.63
9/22/13 19:30,,624.5,63.63
9/22/13 19:45,,618.2,63.63
9/22/13 20:00,,610.3,63.63
9/22/13 20:15,,602.3,63.63
9/22/13 20:30,,594,63.61
9/22/13 20:45,,586,63.63
9/22/13 21:00,,579.3,63.63
9/22/13 21:15,,572.7,63.63
9/22/13 21:30,,566.8,63.63
9/22/13 21:45,,561.8,63.61
9/22/13 22:00,,557.2,63.61
9/22/13 22:15,,553.1,63.61
9/22/13 22:30,,549.3,63.63
9/22/13 22:45,,545.6,63.61
9/22/13 23:00,,543.1,63.61
9/22/13 23:15,,539.7,63.61
9/22/13 23:30,,537.7,63.61
9/22/13 23:45,,535.2,63.61
9/23/13 0:00,,533.9,63.61
9/23/13 0:15,,531.4,63.61
9/23/13 0:30,,529.8,63.57
9/23/13 0:45,,528.5,63.61
9/23/13 1:00,,526.8,63.61
9/23/13 1:15,,525.6,63.61
9/23/13 1:30,,525.2,63.61
9/23/13 1:45,,523.9,63.57
9/23/13 2:00,,523.1,63.61
9/23/13 2:15,,522.3,63.57
9/23/13 2:30,,521.4,63.57
9/23/13 2:45,,520.6,63.57
9/23/13 3:00,,519.8,63.57
9/23/13 3:15,,519.4,63.57
9/23/13 3:30,,518.1,63.57
9/23/13 3:45,,517.7,63.57
9/23/13 4:00,,517.3,63.57
9/23/13 4:15,,516.9,63.57
9/23/13 4:30,,516,63.57
9/23/13 4:45,,515.6,63.57
9/23/13 5:00,,515.2,63.57
9/23/13 5:15,,514,63.57
9/23/13 5:30,,514,63.57
9/23/13 5:45,,513.6,63.57
9/23/13 6:00,,513.1,63.57
9/23/13 6:15,,512.7,63.57
