Date,Level_ft,Conductivity,Water_temp_degF
12/2/13 18:00,4.422,398.7,50.79
12/2/13 18:15,4.423,397.9,50.74
12/2/13 18:30,4.414,398.7,50.81
12/2/13 18:45,4.422,398.8,50.74
12/2/13 19:00,4.425,399.9,50.97
12/2/13 19:15,4.434,398.7,50.81
12/2/13 19:30,4.438,399.5,50.92
12/2/13 19:45,4.438,399.9,50.94
12/2/13 20:00,4.434,398,50.65
12/2/13 20:15,4.44,397.6,50.58
12/2/13 20:30,4.447,399.5,50.85
12/2/13 20:45,4.445,398.4,50.7
12/2/13 21:00,4.453,398.8,50.74
12/2/13 21:15,4.451,399.5,50.81
12/2/13 21:30,4.454,399.2,50.77
12/2/13 21:45,4.447,398.8,50.74
12/2/13 22:00,4.449,398.4,50.7
12/2/13 22:15,4.444,399.5,50.81
12/2/13 22:30,4.439,399.9,50.81
12/2/13 22:45,4.44,399.2,50.74
12/2/13 23:00,4.451,399.2,50.77
12/2/13 23:15,4.44,399.9,50.86
12/2/13 23:30,4.44,399.1,50.79
12/2/13 23:45,4.439,398.8,50.72
12/3/13 0:00,4.441,400.3,50.85
12/3/13 0:15,4.437,399.9,50.79
12/3/13 0:30,4.445,399.9,50.85
12/3/13 0:45,4.438,399.2,50.7
12/3/13 1:00,4.43,400.7,50.94
12/3/13 1:15,4.438,400,50.77
12/3/13 1:30,4.431,399.9,50.85
12/3/13 1:45,4.415,400,50.77
12/3/13 2:00,4.417,400.3,50.81
12/3/13 2:15,4.421,400.4,50.79
12/3/13 2:30,4.419,400,50.77
12/3/13 2:45,4.415,400,50.77
12/3/13 3:00,4.423,400,50.74
12/3/13 3:15,4.421,400.4,50.77
12/3/13 3:30,4.423,400.4,50.77
12/3/13 3:45,4.426,400,50.74
12/3/13 4:00,4.427,400.7,50.9
12/3/13 4:15,4.427,400.4,50.77
12/3/13 4:30,4.43,400.4,50.77
12/3/13 4:45,4.424,400.7,50.86
12/3/13 5:00,4.419,400.4,50.77
12/3/13 5:15,4.417,400.4,50.77
12/3/13 5:30,4.422,400,50.72
12/3/13 5:45,4.421,400.7,50.81
12/3/13 6:00,4.421,400.4,50.79
12/3/13 6:15,4.425,400.4,50.77
12/3/13 6:30,4.424,400.4,50.67
12/3/13 6:45,4.432,399.2,50.59
12/3/13 7:00,4.432,401.5,50.94
12/3/13 7:15,4.445,400.4,50.74
12/3/13 7:30,4.439,400.7,50.81
12/3/13 7:45,4.439,400.8,50.77
12/3/13 8:00,4.45,401.5,50.92
12/3/13 8:15,4.441,401.5,50.94
12/3/13 8:30,4.432,401.1,50.86
12/3/13 8:45,4.432,400,50.67
12/3/13 9:00,4.426,401.2,50.77
12/3/13 9:15,4.43,401.1,50.9
12/3/13 9:30,4.422,401.5,50.9
12/3/13 9:45,4.412,400.8,50.7
12/3/13 10:00,4.405,402.3,50.9
12/3/13 10:15,4.396,400.8,50.67
12/3/13 10:30,4.397,401.2,50.79
12/3/13 10:45,4.374,400.8,50.67
12/3/13 11:00,4.356,401.6,50.81
12/3/13 11:15,4.339,400.8,50.72
12/3/13 11:30,4.32,401.5,50.86
12/3/13 11:45,4.307,401.5,50.86
12/3/13 12:00,4.271,401.2,50.74
12/3/13 12:15,4.253,401.2,50.79
12/3/13 12:30,4.254,401.6,50.79
12/3/13 12:45,4.245,402.3,50.9
12/3/13 13:00,4.25,401.2,50.77
12/3/13 13:15,4.25,402.4,50.85
12/3/13 13:30,4.246,402.3,50.92
12/3/13 13:45,4.254,401.2,50.74
12/3/13 14:00,4.26,402.4,50.85
12/3/13 14:15,4.261,401.6,50.79
12/3/13 14:30,4.256,401.6,50.7
12/3/13 14:45,4.247,402.3,50.9
12/3/13 15:00,4.276,402.4,50.79
12/3/13 15:15,4.306,402.4,50.85
12/3/13 15:30,4.305,402.4,50.79
12/3/13 15:45,4.289,401.6,50.72
12/3/13 16:00,4.302,402.4,50.81
12/3/13 16:15,4.305,400.8,50.58
12/3/13 16:30,4.321,402.3,50.92
12/3/13 16:45,4.326,403.5,51.04
12/3/13 17:00,4.341,402.3,50.86
12/3/13 17:15,4.346,402,50.74
12/3/13 17:30,4.341,403.1,50.92
12/3/13 17:45,4.335,402.4,50.81
12/3/13 18:00,4.328,402.4,50.79
12/3/13 18:15,4.339,402.4,50.85
12/3/13 18:30,4.345,403.1,50.94
12/3/13 18:45,4.353,402.4,50.79
12/3/13 19:00,4.361,403.2,50.86
12/3/13 19:15,4.365,403.5,50.97
12/3/13 19:30,4.371,402.4,50.72
12/3/13 19:45,4.38,403.5,50.97
12/3/13 20:00,4.377,403.2,50.86
12/3/13 20:15,4.381,403.5,50.94
12/3/13 20:30,4.392,403.2,50.86
12/3/13 20:45,4.389,403.5,50.92
12/3/13 21:00,4.392,403.5,50.92
12/3/13 21:15,4.393,403.1,50.9
