Date,Level_ft,Conductivity,Water_temp_degF
12/2/13 18:00,,97.48,52.09
12/2/13 18:15,,97.48,52.05
12/2/13 18:30,,97.48,52.09
12/2/13 18:45,,97.48,52.09
12/2/13 19:00,,97.48,52.05
12/2/13 19:15,,97.48,52.05
12/2/13 19:30,,97.48,52.05
12/2/13 19:45,,97.48,52.05
12/2/13 20:00,,97.48,52.05
12/2/13 20:15,,97.48,52.05
12/2/13 20:30,,97.48,52.05
12/2/13 20:45,,97.48,52.05
12/2/13 21:00,,97.48,52.09
12/2/13 21:15,,97.87,52.09
12/2/13 21:30,,97.48,52.09
12/2/13 21:45,,97.87,52.09
12/2/13 22:00,,97.47,52.11
12/2/13 22:15,,97.47,52.11
12/2/13 22:30,,97.87,52.09
12/2/13 22:45,,97.87,52.11
12/2/13 23:00,,97.87,52.09
12/2/13 23:15,,97.87,52.09
12/2/13 23:30,,97.87,52.09
12/2/13 23:45,,97.87,52.09
12/3/13 0:00,,97.87,52.11
12/3/13 0:15,,97.87,52.09
12/3/13 0:30,,97.87,52.09
12/3/13 0:45,,97.87,52.09
12/3/13 1:00,,97.88,52.05
12/3/13 1:15,,97.88,52.05
12/3/13 1:30,,97.88,52.05
12/3/13 1:45,,97.87,52.09
12/3/13 2:00,,97.88,52.05
12/3/13 2:15,,97.88,52.05
12/3/13 2:30,,97.88,52.05
12/3/13 2:45,,97.88,52.05
12/3/13 3:00,,97.88,52.05
12/3/13 3:15,,97.88,52.05
12/3/13 3:30,,98.28,52.03
12/3/13 3:45,,97.88,52.05
12/3/13 4:00,,97.88,52.03
12/3/13 4:15,,98.28,52.03
12/3/13 4:30,,98.28,52.03
12/3/13 4:45,,98.28,52.03
12/3/13 5:00,,97.88,52.03
12/3/13 5:15,,98.28,52.02
12/3/13 5:30,,98.28,52.03
12/3/13 5:45,,97.88,52.02
12/3/13 6:00,,98.28,52.02
12/3/13 6:15,,98.28,52.02
12/3/13 6:30,,98.28,52.02
12/3/13 6:45,,98.28,52.02
12/3/13 7:00,,98.28,52.02
12/3/13 7:15,,98.28,52.02
12/3/13 7:30,,98.28,52.02
12/3/13 7:45,,98.28,51.98
12/3/13 8:00,,98.28,52.02
12/3/13 8:15,,98.28,51.98
12/3/13 8:30,,98.28,51.98
12/3/13 8:45,,98.28,51.98
12/3/13 9:00,,97.88,51.98
12/3/13 9:15,,98.28,51.98
12/3/13 9:30,,98.28,51.98
12/3/13 9:45,,98.28,51.96
12/3/13 10:00,,98.28,51.96
12/3/13 10:15,,98.28,51.98
12/3/13 10:30,,98.28,51.98
12/3/13 10:45,,98.28,51.96
12/3/13 11:00,,98.28,51.96
12/3/13 11:15,,98.28,51.96
12/3/13 11:30,,98.28,51.96
12/3/13 11:45,,98.28,51.96
12/3/13 12:00,,98.28,51.94
12/3/13 12:15,,98.28,51.94
12/3/13 12:30,,98.28,51.94
12/3/13 12:45,,98.28,51.94
12/3/13 13:00,,98.28,51.96
12/3/13 13:15,,98.28,51.94
12/3/13 13:30,,98.28,51.94
12/3/13 13:45,,98.28,51.91
12/3/13 14:00,,98.28,51.94
12/3/13 14:15,,98.28,51.91
12/3/13 14:30,,98.28,51.94
12/3/13 14:45,,98.28,51.94
12/3/13 15:00,,98.28,51.91
12/3/13 15:15,,98.28,51.91
12/3/13 15:30,,98.28,51.91
12/3/13 15:45,,98.28,51.91
12/3/13 16:00,,98.28,51.91
12/3/13 16:15,,98.28,51.91
12/3/13 16:30,,98.28,51.91
12/3/13 16:45,,98.28,51.89
12/3/13 17:00,,98.68,51.89
12/3/13 17:15,,98.28,51.89
12/3/13 17:30,,98.68,51.89
12/3/13 17:45,,98.28,51.89
12/3/13 18:00,,98.28,51.89
12/3/13 18:15,,98.68,51.89
12/3/13 18:30,,98.28,51.89
12/3/13 18:45,,99.08,51.89
12/3/13 19:00,,98.28,51.87
12/3/13 19:15,,98.68,51.87
12/3/13 19:30,,98.68,51.87
12/3/13 19:45,,98.68,51.87
12/3/13 20:00,,98.28,51.87
12/3/13 20:15,,98.68,51.87
12/3/13 20:30,,98.68,51.87
12/3/13 20:45,,98.68,51.87
12/3/13 21:00,,98.28,51.87
12/3/13 21:15,,98.29,51.85
12/3/13 21:30,,98.28,51.87
12/3/13 21:45,,98.68,51.87
12/3/13 22:00,,98.68,51.87
12/3/13 22:15,,98.68,51.85
12/3/13 22:30,,98.68,51.85
12/3/13 22:45,,98.29,51.85
12/3/13 23:00,,98.68,51.85
12/3/13 23:15,,98.68,51.85
12/3/13 23:30,,98.29,51.85
12/3/13 23:45,,98.68,51.85
12/4/13 0:00,,98.69,51.82
12/4/13 0:15,,98.69,51.82
