Date,Level_ft,Conductivity,Water_temp_degF
12/7/13 22:00,0.53,139.45,40.5
12/7/13 22:15,0.533,140.25,40.41
12/7/13 22:30,0.527,141.05,40.32
12/7/13 22:45,0.525,141.45,40.23
12/7/13 23:00,0.518,143.04,40.14
12/7/13 23:15,0.513,143.05,40.01
12/7/13 23:30,0.514,143.06,39.92
12/7/13 23:45,0.52,143.46,39.83
12/8/13 0:00,0.511,143.86,39.7
12/8/13 0:15,0.498,144.27,39.61
12/8/13 0:30,0.518,145.47,39.49
12/8/13 0:45,0.515,146.27,39.4
12/8/13 1:00,0.516,146.67,39.29
12/8/13 1:15,0.516,147.47,39.22
12/8/13 1:30,0.526,147.87,39.11
12/8/13 1:45,0.506,148.28,39.02
12/8/13 2:00,0.513,148.68,38.95
12/8/13 2:15,0.524,149.48,38.86
12/8/13 2:30,0.506,149.88,38.79
12/8/13 2:45,0.52,149.89,38.68
12/8/13 3:00,0.517,150.3,38.57
12/8/13 3:15,0.525,150.7,38.48
12/8/13 3:30,0.523,150.71,38.41
12/8/13 3:45,0.513,151.11,38.32
12/8/13 4:00,0.5,151.12,38.21
12/8/13 4:15,0.498,151.52,38.14
12/8/13 4:30,0.506,151.93,38.07
12/8/13 4:45,0.512,151.93,38.03
12/8/13 5:00,0.503,152.33,37.98
12/8/13 5:15,0.494,153.13,37.9
12/8/13 5:30,0.495,153.13,37.87
12/8/13 5:45,0.513,153.53,37.85
12/8/13 6:00,0.542,153.53,37.83
12/8/13 6:15,0.546,153.93,37.85
12/8/13 6:30,0.534,154.32,37.87
12/8/13 6:45,0.529,154.72,37.87
12/8/13 7:00,0.54,155.12,37.9
12/8/13 7:15,0.515,155.11,37.92
12/8/13 7:30,0.505,155.51,37.87
12/8/13 7:45,0.506,155.51,37.94
12/8/13 8:00,0.472,155.9,37.94
12/8/13 8:15,0.452,156.7,37.94
12/8/13 8:30,0.481,157.49,37.94
12/8/13 8:45,0.473,157.09,37.98
12/8/13 9:00,0.464,157.49,37.98
12/8/13 9:15,0.494,157.89,37.99
12/8/13 9:30,0.497,158.28,38.01
12/8/13 9:45,0.486,158.68,37.99
12/8/13 10:00,0.518,158.68,37.94
12/8/13 10:15,0.521,159.08,37.99
12/8/13 10:30,0.471,158.32,37.62
12/8/13 10:45,0.474,155.99,37
12/8/13 11:00,0.468,150.18,35.22
12/8/13 11:15,0.481,143.19,33.3
12/8/13 11:30,0.45,139.69,32.38
12/8/13 11:45,0.406,137.72,32.16
12/8/13 12:00,0.424,135.73,32.2
12/8/13 12:15,0.456,135.33,32.13
12/8/13 12:30,0.501,135.74,32.07
12/8/13 12:45,0.461,135.74,32.05
12/8/13 13:00,0.447,134.95,31.98
12/8/13 13:15,0.433,132.96,31.96
12/8/13 13:30,0.436,131.77,31.96
12/8/13 13:45,0.437,131.38,31.93
12/8/13 14:00,0.419,132.17,31.93
12/8/13 14:15,0.436,132.57,31.93
12/8/13 14:30,0.442,133.36,31.93
12/8/13 14:45,0.449,133.76,31.98
12/8/13 15:00,0.485,132.96,31.96
12/8/13 15:15,0.494,132.17,31.98
12/8/13 15:30,0.482,132.17,31.98
12/8/13 15:45,0.502,132.17,31.98
12/8/13 16:00,0.527,131.77,31.93
12/8/13 16:15,0.501,132.17,31.98
12/8/13 16:30,0.486,132.17,31.96
12/8/13 16:45,0.504,131.77,32.04
12/8/13 17:00,0.481,130.97,32.05
12/8/13 17:15,0.474,130.18,32.04
12/8/13 17:30,0.48,130.17,32.07
12/8/13 17:45,0.484,129.78,32.07
12/8/13 18:00,0.475,130.17,32.09
12/8/13 18:15,0.466,130.17,32.14
12/8/13 18:30,0.496,130.17,32.14
12/8/13 18:45,0.496,130.17,32.14
12/8/13 19:00,0.478,130.17,32.16
12/8/13 19:15,0.486,130.16,32.22
12/8/13 19:30,0.479,129.77,32.22
12/8/13 19:45,0.466,130.16,32.27
12/8/13 20:00,0.439,130.16,32.29
12/8/13 20:15,0.448,130.16,32.29
12/8/13 20:30,0.421,130.15,32.36
12/8/13 20:45,0.415,130.94,32.4
12/8/13 21:00,0.427,130.94,32.5
12/8/13 21:15,0.422,131.33,32.58
12/8/13 21:30,0.435,131.72,32.63
12/8/13 21:45,0.45,132.11,32.76
12/8/13 22:00,0.499,132.1,32.85
12/8/13 22:15,0.495,132.49,32.92
12/8/13 22:30,0.457,132.49,33.04
12/8/13 22:45,0.471,132.48,33.15
12/8/13 23:00,0.47,131.68,33.28
12/8/13 23:15,0.457,131.66,33.44
12/8/13 23:30,0.448,132.45,33.58
12/8/13 23:45,0.429,133.23,33.71
12/9/13 0:00,0.377,134.01,33.91
12/9/13 0:15,0.409,134.79,34.12
12/9/13 0:30,0.454,135.57,34.21
12/9/13 0:45,0.452,135.17,34.3
12/9/13 1:00,0.466,133.97,34.45
12/9/13 1:15,0.481,132.77,34.61
12/9/13 1:30,0.477,130.38,34.75
12/9/13 1:45,0.514,128.78,34.84
12/9/13 2:00,0.518,124.41,35.04
12/9/13 2:15,0.526,118.46,35.15
12/9/13 2:30,0.532,112.13,35.2
12/9/13 2:45,0.567,105.01,35.17
12/9/13 3:00,0.568,96.71,35.24
12/9/13 3:15,0.63,94.73,35.37
12/9/13 3:30,0.631,105.78,35.53
12/9/13 3:45,0.653,149.35,35.67
12/9/13 4:00,0.662,293.32,35.71
12/9/13 4:15,0.668,601.38,35.74
12/9/13 4:30,0.719,990.53,35.71
12/9/13 4:45,0.723,1316.25,35.69
12/9/13 5:00,0.758,2068.79,35.56
12/9/13 5:15,0.741,2579.4,35.51
12/9/13 5:30,0.737,2872.59,35.47
12/9/13 5:45,0.721,2998.23,35.53
12/9/13 6:00,0.754,2974.95,35.53
12/9/13 6:15,0.748,2985.17,35.56
12/9/13 6:30,0.733,2964.05,35.62
12/9/13 6:45,0.723,2900.93,35.64
12/9/13 7:00,0.755,2793.15,35.69
12/9/13 7:15,0.729,2668.63,35.71
12/9/13 7:30,0.744,2542.59,35.71
12/9/13 7:45,0.771,2430.54,35.74
12/9/13 8:00,0.766,2335.09,35.78
12/9/13 8:15,0.789,2273.45,35.83
12/9/13 8:30,0.803,2203.01,35.91
12/9/13 8:45,0.801,2124.34,35.94
12/9/13 9:00,0.794,2031.25,36.01
12/9/13 9:15,0.819,1929.15,36.09
12/9/13 9:30,0.847,1846.61,36.16
12/9/13 9:45,0.824,1768.62,36.25
12/9/13 10:00,0.826,1696.51,36.32
12/9/13 10:15,0.803,1629.38,36.37
12/9/13 10:30,0.803,1568.09,36.37
12/9/13 10:45,0.806,1514.61,36.52
12/9/13 11:00,0.78,1475.54,36.63
12/9/13 11:15,0.781,1425.26,36.79
12/9/13 11:30,0.758,1360.07,36.9
12/9/13 11:45,0.769,1295.12,36.91
12/9/13 12:00,0.752,1260.34,36.93
12/9/13 12:15,0.758,1170.89,36.95
12/9/13 12:30,0.753,1118.44,36.95
12/9/13 12:45,0.749,1063.56,36.99
12/9/13 13:00,0.755,1006.78,36.9
12/9/13 13:15,0.754,960.75,36.77
12/9/13 13:30,0.792,916.84,36.82
12/9/13 13:45,0.786,882.32,36.82
12/9/13 14:00,0.816,852.81,37.02
12/9/13 14:15,0.829,820.05,37.15
12/9/13 14:30,0.843,788.19,37.26
12/9/13 14:45,0.846,764.76,37.36
12/9/13 15:00,0.853,743.04,37.44
12/9/13 15:15,0.837,726.77,37.49
12/9/13 15:30,0.839,718.43,37.54
12/9/13 15:45,0.827,712.59,37.56
12/9/13 16:00,0.83,711.76,37.56
12/9/13 16:15,0.82,703.87,37.54
12/9/13 16:30,0.823,699.73,37.53
12/9/13 16:45,0.82,692.67,37.53
12/9/13 17:00,0.818,687.27,37.53
12/9/13 17:15,0.817,680.63,37.53
12/9/13 17:30,0.806,673.98,37.54
12/9/13 17:45,0.807,666.52,37.54
12/9/13 18:00,0.81,660.28,37.6
12/9/13 18:15,0.815,652.4,37.62
12/9/13 18:30,0.813,647.85,37.62
12/9/13 18:45,0.818,642.46,37.63
12/9/13 19:00,0.805,637.89,37.69
12/9/13 19:15,0.813,633.35,37.67
12/9/13 19:30,0.817,627.95,37.71
12/9/13 19:45,0.812,622.57,37.72
12/9/13 20:00,0.804,617.2,37.72
12/9/13 20:15,0.791,611.82,37.76
12/9/13 20:30,0.769,607.28,37.78
12/9/13 20:45,0.755,602.31,37.83
12/9/13 21:00,0.748,598.17,37.85
12/9/13 21:15,0.735,592.41,37.83
12/9/13 21:30,0.722,587.46,37.83
12/9/13 21:45,0.725,582.1,37.83
12/9/13 22:00,0.72,577.99,37.83
12/9/13 22:15,0.712,572.23,37.8
12/9/13 22:30,0.718,566.46,37.83
12/9/13 22:45,0.703,561.51,37.85
12/9/13 23:00,0.705,556.98,37.87
12/9/13 23:15,0.695,551.65,37.85
12/9/13 23:30,0.688,547.13,37.85
12/9/13 23:45,0.668,542.62,37.8
12/10/13 0:00,0.656,538.53,37.76
12/10/13 0:15,0.649,534.03,37.69
12/10/13 0:30,0.631,530.35,37.63
12/10/13 0:45,0.636,527.06,37.67
12/10/13 1:00,0.638,522.96,37.67
12/10/13 1:15,0.632,519.68,37.67
12/10/13 1:30,0.639,515.98,37.69
12/10/13 1:45,0.603,512.7,37.69
12/10/13 2:00,0.62,510.24,37.71
12/10/13 2:15,0.622,506.95,37.76
12/10/13 2:30,0.635,503.66,37.78
12/10/13 2:45,0.63,500.79,37.8
12/10/13 3:00,0.65,498.33,37.83
12/10/13 3:15,0.656,495.04,37.87
12/10/13 3:30,0.622,491.77,37.87
12/10/13 3:45,0.647,489.31,37.9
12/10/13 4:00,0.607,486.83,37.98
12/10/13 4:15,0.583,483.57,37.94
12/10/13 4:30,0.556,480.7,37.98
12/10/13 4:45,0.572,478.25,37.98
12/10/13 5:00,0.579,475.38,37.99
12/10/13 5:15,0.555,473.33,38.03
12/10/13 5:30,0.574,470.45,38.08
12/10/13 5:45,0.555,468.41,38.1
12/10/13 6:00,0.591,465.13,38.14
12/10/13 6:15,0.616,463.09,38.16
12/10/13 6:30,0.66,459.4,38.21
12/10/13 6:45,0.606,457.36,38.21
12/10/13 7:00,0.562,450.12,37.83
12/10/13 7:15,0.586,442.49,37.38
12/10/13 7:30,0.572,435.27,36.91
12/10/13 7:45,0.59,428.41,36.63
12/10/13 8:00,0.562,421.15,36.36
12/10/13 8:15,0.544,417.1,36.28
12/10/13 8:30,0.522,413.04,36.23
12/10/13 8:45,0.549,407.4,36.01
12/10/13 9:00,0.557,403.35,35.94
12/10/13 9:15,0.541,401.69,36.07
12/10/13 9:30,0.537,400.42,36.3
12/10/13 9:45,0.522,401.17,36.55
12/10/13 10:00,0.569,403.16,36.77
12/10/13 10:15,0.57,406.78,36.93
12/10/13 10:30,0.577,408.8,36.95
12/10/13 10:45,0.565,411.23,37
12/10/13 11:00,0.543,415.3,37
12/10/13 11:15,0.556,418.15,37
12/10/13 11:30,0.565,421.37,37.15
12/10/13 11:45,0.578,425.41,37.26
12/10/13 12:00,0.536,430.26,37.4
12/10/13 12:15,0.54,433.88,37.56
12/10/13 12:30,0.535,438.33,37.71
12/10/13 12:45,0.565,444,37.83
12/10/13 13:00,0.584,453.76,37.94
12/10/13 13:15,0.572,469.65,38.03
12/10/13 13:30,0.582,502.73,38.17
12/10/13 13:45,0.576,545.36,38.23
12/10/13 14:00,0.602,581.14,38.25
12/10/13 14:15,0.592,603.79,38.3
12/10/13 14:30,0.61,618.25,38.26
12/10/13 14:45,0.612,635.2,38.25
12/10/13 15:00,0.614,657.98,38.21
12/10/13 15:15,0.624,696.94,38.25
